Make,Model,Variant,ExShowroomPrice,Displacement,Cylinders,ValvesPerCylinder,Drivetrain,CylinderConfiguration,EmissionNorm,Engine_ocation,FuelSystem,FuelTankCapacity,FuelType,Height,Length,Width,BodyType,Doors,CityMileage,HighwayMileage
Tata,Nano Genx,Xm,22223,24 cc,2,2,RWD (Rear Wheel Drive),In-line,BS IV,Rear Transverse,Injection,24,Petrol,162,3164,1750,Hatchback,5,23.60,
Tata,Nano Genx,Xma,314815,24 cc,2,2,RWD (Rear Wheel Drive),In-line,BS IV,Rear Transverse,Injection,24,Petrol,162,3164,1750,Hatchback,5,23.60,
Datsun,Redi-Go,D,279650,799 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,28,Petrol,1541,329,1560,Hatchback,5,21.38,24
Datsun,Redi-Go,T,35182,799 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,28,Petrol,1541,329,1560,Hatchback,5,21.38,24
Datsun,Redi-Go,A,333419,799 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,28,Petrol,1541,329,1560,Hatchback,5,21.38,24
Datsun,Redi-Go,S,32000,799 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,28,Petrol,1541,329,1560,Hatchback,5,21.38,24
Datsun,Redi-Go,1.0 S,390000,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,28,Petrol,1541,329,1560,Hatchback,5,,
Datsun,Redi-Go,1.0 S Amt,437065,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,28,Petrol,1541,329,1560,Hatchback,5,,
Renault,Kwid,Rxe 0.8,353290,799 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,
Renault,Kwid,Std 0.8,283290,799 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,
Renault,Kwid,Rxl 0.8,383290,799 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,
Renault,Kwid,Rxt 0.8,413290,799 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,28,Petrol,1490,3731,1580,Hatchback,5,25.17,
Renault,Kwid,Rxt 1.0,433290,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,
Renault,Kwid,Climber 1.0 Mt,454490,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,
Renault,Kwid,Rxt Amt 1.0,463290,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,
Renault,Kwid,Climber Amt 1.0,484490,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,
Renault,Kwid,Rxt (O) 1.0,440990,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,
Renault,Kwid,Rxt (O) Amt 1.0,470990,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,
Renault,Kwid,Climber (O) Mt 1.0,42190,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,
Renault,Kwid,Climber (O) Amt 1.0,42190,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,
Maruti Suzuki,Eeco,5 Str,32136,1196 cc,4,4,RWD (Rear Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,40,Petrol,1800,3675,1475,MPV,5,2.00,15
Maruti Suzuki,Eeco,7 Str,380573,1196 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,40,Petrol,1800,3675,1475,MPV,5,2.00,15
Maruti Suzuki,Eeco,5 Str With Ac+Htr,32967,1196 cc,4,4,RWD (Rear Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,40,Petrol,1800,3675,1475,MPV,5,11.00,15
Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,466057,1196 cc,4,4,RWD (Rear Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,40,CNG,1800,3675,1475,MPV,5,,
Maruti Suzuki,Eeco,5 Str With Htr Cng,425255,1196 cc,4,4,RWD (Rear Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,40,CNG,1800,3675,1475,MPV,5,,
Maruti Suzuki,Alto K10,Lxi,377588,998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1475,3545,1490,Hatchback,5,14.00,17
Maruti Suzuki,Alto K10,Vxi,394036,998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1475,3545,1490,Hatchback,5,14.00,17
Maruti Suzuki,Alto K10,Lx,360843,998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1475,3545,1490,Hatchback,5,19.00,24.07
Maruti Suzuki,Alto K10,Vxi (O),407238,998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1460,320,1475,Hatchback,5,14.00,17
Maruti Suzuki,Alto K10,Lxi Cng (O),439777,998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,CNG,1475,3545,1490,Hatchback,5,,
Maruti Suzuki,Alto K10,Vxi Amt (O),438559,998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1475,3545,1490,Hatchback,5,14.00,17
Datsun,Go,D,374990,1198 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1507,3788,1636,Hatchback,5,,
Datsun,Go,T,468229,1198 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1507,3788,1636,Hatchback,5,,
Datsun,Go,T (O),5242,1198 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1507,3788,1636,Hatchback,5,20.60,
Datsun,Go,A (O),499990,1198 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1507,3788,1636,Hatchback,5,20.60,
Datsun,Go,A,469990,1198 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1507,3788,1636,Hatchback,5,20.60,
Datsun,Go,T Vdc,528464,1198 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1507,3788,1636,Hatchback,5,,
Datsun,Go,T (O) Vdc,553015,1198 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1507,3788,1636,Hatchback,5,20.60,
Datsun,Go,T Cvt,594464,1198 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1507,3788,1636,Hatchback,5,,
Datsun,Go,T (O) Cvt,618015,1198 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1507,3788,1636,Hatchback,5,20.60,
Maruti Suzuki,Celerio Tour,2,422444,998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1560,3600,1600,Hatchback,5,23.00,
Maruti Suzuki,Celerio Tour,2 Cng,480670,998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,60,CNG,1560,3695,1600,Hatchback,5,,
Hyundai,Santro,Era Mt,429990,1086 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1560,3610,1645,Hatchback,4,,
Hyundai,Santro,Magna Mt,503990,1086 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1560,3610,1645,Hatchback,4,,
Hyundai,Santro,Magna Mt Cng,547990,1086 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,CNG,1560,3610,1645,Hatchback,4,,
Hyundai,Santro,Magna Amt,530990,1086 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1560,3610,1645,Hatchback,4,,
Hyundai,Santro,Sportz Mt,52990,1086 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1560,3610,1645,Hatchback,4,,
Hyundai,Santro,Sportz Mt Cng,578990,1086 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,60,CNG,1560,3610,1645,Hatchback,4,,
Hyundai,Santro,Sportz Amt,570990,1086 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1560,3610,1645,Hatchback,4,,
Hyundai,Santro,Asta Mt,556490,1086 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1560,3610,1645,Hatchback,4,,
Tata,Tiago,Revotron Xe,460000,1199 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,35,Petrol,1535,3765,1677,Hatchback,5,,
Tata,Tiago,Revotron Xt,520000,1199 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,35,Petrol,1535,3746,1647,Hatchback,5,23.84,23
Tata,Tiago,Revotron Xz,570000,1199 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,35,Petrol,1535,3746,1647,Hatchback,5,23.84,23
Tata,Tiago,Revotron Xz Plus,599000,1199 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,35,Petrol,1535,3746,1647,Hatchback,5,23.84,23
Tata,Tiago,Revotron Xz Plus Dual Tone,610000,1199 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,35,Petrol,1535,3746,1647,Hatchback,5,23.84,23
Tata,Tiago,Revotron Xza,620000,1199 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,35,Petrol,1535,3746,1647,Hatchback,5,23.84,24
Tata,Tiago,Revotron Xza Plus,649000,1199 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,35,Petrol,1535,3746,1647,Hatchback,5,23.84,24
Tata,Tiago,Revotron Xza Plus Dual Tone,660000,1199 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,35,Petrol,1535,3746,1647,Hatchback,5,23.84,24
Maruti Suzuki,Celerio X,Vxi (O),481074,998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1560,3600,1600,Hatchback,5,23.00,2
Maruti Suzuki,Celerio X,Vxi,475198,998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1560,3600,1600,Hatchback,5,23.00,2
Maruti Suzuki,Celerio X,Vxi Amt,518198,998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1560,3600,1600,Hatchback,5,23.00,2
Maruti Suzuki,Celerio X,Vxi Amt (O),524074,998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1560,3600,1600,Hatchback,5,23.00,2
Maruti Suzuki,Celerio X,Zxi,499734,998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1560,3600,1600,Hatchback,5,23.00,2
Maruti Suzuki,Celerio X,Zxi (O),540350,998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1560,3600,1600,Hatchback,5,23.00,2
Maruti Suzuki,Celerio X,Zxi Amt,52735,998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1560,3600,1600,Hatchback,5,23.00,2
Maruti Suzuki,Celerio X,Zxi Amt (O),52350,998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,35,Petrol,1560,3600,1600,Hatchback,5,23.00,2
Maruti Suzuki,Ignis,Alpha 12 Amt,713898,1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,2,Petrol,1595,3700,1690,Hatchback,5,20.89,
Maruti Suzuki,Ignis,Alpha 12 Mt,666898,1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,2,Petrol,1595,3700,1690,Hatchback,5,20.89,
